"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H0","804","UKR","Ukraine","0101","000","WLD","World",2021,"Gross Imports",1115.29262
"H0","804","UKR","Ukraine","0101","056","BEL","Belgium",2021,"Gross Imports",3.60708
"H0","804","UKR","Ukraine","0101","112","BLR","Belarus",2021,"Gross Imports",4.30519
"H0","804","UKR","Ukraine","0101","251","FRA","France+Monac",2021,"Gross Imports",50.17672
"H0","804","UKR","Ukraine","0101","276","DEU","Germany",2021,"Gross Imports",224.0216
"H0","804","UKR","Ukraine","0101","372","IRL","Ireland",2021,"Gross Imports",5.73235
"H0","804","UKR","Ukraine","0101","428","LVA","Latvia",2021,"Gross Imports",8.99765
"H0","804","UKR","Ukraine","0101","528","NLD","Netherlands",2021,"Gross Imports",440.54816
"H0","804","UKR","Ukraine","0101","579","NOR","Norway,Sb,JM",2021,"Gross Imports",353.32005
"H0","804","UKR","Ukraine","0101","616","POL","Poland",2021,"Gross Imports",24.58382
"H0","804","UKR","Ukraine","0102","000","WLD","World",2021,"Gross Imports",10422.25262
"H0","804","UKR","Ukraine","0102","040","AUT","Austria",2021,"Gross Imports",477.72474
"H0","804","UKR","Ukraine","0102","203","CZE","Czech Rep",2021,"Gross Imports",2001.34078
"H0","804","UKR","Ukraine","0102","208","DNK","Denmark",2021,"Gross Imports",3907.09701
"H0","804","UKR","Ukraine","0102","233","EST","Estonia",2021,"Gross Imports",321.51949
"H0","804","UKR","Ukraine","0102","251","FRA","France+Monac",2021,"Gross Imports",68.48805
"H0","804","UKR","Ukraine","0102","348","HUN","Hungary",2021,"Gross Imports",559.18501
"H0","804","UKR","Ukraine","0102","428","LVA","Latvia",2021,"Gross Imports",1.452
"H0","804","UKR","Ukraine","0102","528","NLD","Netherlands",2021,"Gross Imports",1530.73295
"H0","804","UKR","Ukraine","0102","616","POL","Poland",2021,"Gross Imports",556.26051
"H0","804","UKR","Ukraine","0102","703","SVK","Slovakia",2021,"Gross Imports",998.45208
"H0","804","UKR","Ukraine","0103","000","WLD","World",2021,"Gross Imports",5703.06741
"H0","804","UKR","Ukraine","0103","203","CZE","Czech Rep",2021,"Gross Imports",180.75642
"H0","804","UKR","Ukraine","0103","208","DNK","Denmark",2021,"Gross Imports",3617.87299
"H0","804","UKR","Ukraine","0103","251","FRA","France+Monac",2021,"Gross Imports",1553.65426
"H0","804","UKR","Ukraine","0103","276","DEU","Germany",2021,"Gross Imports",57.80117
"H0","804","UKR","Ukraine","0103","724","ESP","Spain",2021,"Gross Imports",123.88364
"H0","804","UKR","Ukraine","0103","826","GBR","Untd.Kingdom",2021,"Gross Imports",169.09893
"H0","804","UKR","Ukraine","0104","000","WLD","World",2021,"Gross Imports",903.45217
"H0","804","UKR","Ukraine","0104","040","AUT","Austria",2021,"Gross Imports",327.41181
"H0","804","UKR","Ukraine","0104","251","FRA","France+Monac",2021,"Gross Imports",414.12226
